ID,AverageMass,AreaInSquaredPixels,Roundness
367,3.9324,16938.0,0.9408
368,3.9311,16997.0,0.9576
369,3.9324,16855.0,0.9596
370,3.9315,20287.0,0.8717
371,3.9319,19964.0,0.8776
372,3.9312,20015.5,0.8867
373,3.9311,17155.5,0.958
374,3.9287,19623.0,0.906
375,3.9304,19476.0,0.9183
376,3.9285,19376.5,0.9122
377,3.9288,19593.0,0.9179
378,3.9293,19401.0,0.9134
379,3.9294,20134.0,0.8828
380,3.9269,19939.5,0.8734
381,3.9274,19875.5,0.8943
382,3.7908,22264.0,0.8625
383,3.7917,22347.0,0.8669
384,3.79,21902.0,0.8802
385,3.7898,21054.5,0.8387
386,3.789,21942.0,0.8824
387,3.7901,20451.5,0.8153
388,3.7899,22232.5,0.8689
389,3.7894,20473.0,0.8428
390,4.9262,25336.5,0.8304
391,4.9259,25626.5,0.8321
392,4.9236,25261.0,0.8395
393,4.926,25358.5,0.8394
394,4.9254,25260.5,0.8412
395,4.9243,25328.0,0.8477
396,4.9254,23342.5,0.8911
397,4.9251,23474.5,0.8689
398,4.2615,22305.0,0.8887
399,4.2606,22483.5,0.892
400,4.2604,22412.0,0.8916
401,4.2589,22320.0,0.88
402,4.2602,21977.5,0.8912
403,4.26,19020.0,0.9658
404,4.2597,22168.0,0.9034
405,3.8362,22401.5,0.7731
406,3.837,19921.0,0.9537
407,3.8365,20257.5,0.8412
408,3.8359,19598.0,0.93
409,6.3606,26821.0,0.9212
410,6.3617,29448.0,0.9
411,6.3614,28674.5,0.8895
412,6.3612,28578.0,0.9028
413,6.3611,29867.5,0.8558
414,6.3606,28036.5,0.7993
415,3.8931,17249.0,0.9437
416,3.8898,17127.5,0.9532
417,3.8924,17304.5,0.9544
418,3.8898,20211.5,0.9017
419,3.892,20799.0,0.9044
420,3.8908,20532.5,0.9062
421,3.8905,19540.0,0.8909
422,3.8894,19536.5,0.9345
423,3.8901,17065.0,0.9475
424,4.5957,18841.0,0.9589
425,4.5941,19112.5,0.9661
426,4.5955,18797.0,0.9667
427,4.5936,18778.5,0.967
428,4.5955,18797.5,0.9652
429,4.5965,22043.5,0.858
430,4.5955,21283.0,0.8705
431,4.5946,22435.0,0.8731
432,4.5949,22560.5,0.8777
433,4.5948,21680.5,0.8771
434,4.5927,22522.0,0.88
435,4.5946,22195.0,0.8738
436,4.5947,21209.0,0.8744
437,5.0973,20506.0,0.9509
438,5.0977,20152.0,0.9607
439,5.0973,20708.0,0.96
440,5.0957,20014.5,0.959
441,5.0964,26383.0,0.8427
442,5.0955,25677.0,0.7943
443,5.0929,25570.5,0.8012
444,5.0937,25583.0,0.8272
445,5.0928,25549.5,0.8604
446,4.7968,19195.5,0.9806
447,4.7963,23867.5,0.9441
448,4.7961,22292.5,0.8917
449,4.7959,23380.5,0.9364
450,4.7956,23491.0,0.9339
451,4.7955,22162.5,0.9216
452,3.5331,20236.0,0.8795
453,3.532,15365.5,0.9309
454,3.5312,18581.0,0.8919
455,3.5307,18828.0,0.8574
456,4.7346,20267.5,0.9723
457,4.7324,20459.0,0.9756
458,4.7334,20195.5,0.969
459,4.734,20216.5,0.9696
460,4.7335,22885.0,0.9134
461,4.733,22721.5,0.9185
462,4.733,22225.0,0.9106
463,4.7323,22855.5,0.9308
464,4.7319,22188.5,0.9251
465,4.7304,22079.5,0.9197
466,4.7314,21831.5,0.9123
467,5.1174,20593.0,0.9543
468,5.1177,20560.0,0.9647
469,5.1179,20406.5,0.9576
470,5.1176,20868.5,0.9615
471,5.1174,24007.0,0.9197
472,5.1169,24959.0,0.9077
473,5.1165,24696.0,0.9228
474,3.3835,15264.0,0.9653
475,3.3832,15260.5,0.951
476,3.3832,15277.5,0.9601
477,3.3835,14969.0,0.9651
478,3.3823,18313.0,0.9159
479,3.3814,17818.0,0.9109
480,3.3798,17784.5,0.9124
481,3.3823,17927.0,0.9179
482,3.3803,17745.5,0.9226
483,3.3823,17640.0,0.9091
484,3.381,17643.5,0.9078
485,3.3815,17579.0,0.9276
486,3.3811,17173.0,0.9148
487,3.3815,17402.5,0.8904
488,3.3805,16754.5,0.92
489,3.5085,16133.0,0.9584
490,3.5084,16104.0,0.9556
491,3.5086,16286.0,0.9692
492,3.5068,18924.0,0.9135
493,3.5077,18268.0,0.8961
494,3.5067,18525.5,0.8891
495,3.5025,18643.0,0.9162
496,3.5012,18384.5,0.8875
497,3.5019,18685.0,0.9005
498,4.9371,20009.0,0.9492
499,4.9335,20099.0,0.9514
500,4.9352,20053.0,0.9551
501,4.9356,23529.5,0.8818
502,4.9353,24034.0,0.8785
