ID,AverageMass,AreaInSquaredPixels,Roundness
335,4.4065,20307.0,0.9216
336,4.4064,20445.5,0.9307
337,5.7903,21069.5,0.9477
338,5.7906,20563.0,0.9408
339,5.7876,21042.5,0.9482
340,5.7895,21077.0,0.9553
341,5.7909,20798.0,0.9446
342,5.7901,25369.5,0.8852
343,5.7909,25588.0,0.8952
344,5.7896,26172.0,0.8718
345,5.7893,26887.0,0.885
346,5.7895,25819.0,0.8787
347,5.7903,26236.0,0.8788
348,5.7898,26381.5,0.9036
349,5.7892,26291.5,0.8891
350,5.79,26550.0,0.8836
351,5.7883,25924.5,0.8579
352,5.7885,26535.5,0.9209
353,3.3274,16754.0,0.9351
354,3.3287,16985.5,0.9403
355,3.3286,16805.0,0.9353
356,3.3282,18125.0,0.9109
357,3.3255,18090.5,0.9136
358,3.7998,16138.0,0.9537
359,3.8015,15650.5,0.9408
360,3.8014,15747.0,0.9469
361,3.8013,15369.0,0.9351
362,3.8006,18322.0,0.9041
363,3.8,18463.0,0.9246
364,3.7995,18524.5,0.9276
365,3.8015,18909.5,0.9381
366,3.8008,18873.0,0.9059
367,3.9324,15913.5,0.9375
368,3.9311,15701.0,0.9503
369,3.9324,15998.5,0.9635
370,3.9315,19370.0,0.9162
371,3.9319,19342.5,0.9131
372,3.9312,19054.0,0.9155
373,3.9311,16191.0,0.945
374,3.9287,19161.0,0.9321
375,3.9304,18953.0,0.9416
376,3.9285,18101.5,0.9109
377,3.9288,18669.0,0.9299
378,3.9293,18530.5,0.9353
379,3.9294,19128.5,0.9175
380,3.9269,18883.5,0.9061
381,3.9274,19270.5,0.9217
382,3.7908,20152.5,0.8616
383,3.7917,21265.0,0.8869
384,3.79,21078.5,0.9
385,3.7898,20001.5,0.8775
386,3.789,20817.5,0.8977
387,3.7901,19637.0,0.8564
388,3.7899,20568.0,0.8668
389,3.7894,19793.5,0.8643
390,4.9262,24338.5,0.8557
391,4.9259,24696.0,0.8792
392,4.9236,24217.0,0.8589
393,4.926,24466.0,0.851
394,4.9254,23816.5,0.8544
395,4.9243,24006.0,0.8533
396,4.9254,23016.0,0.9087
397,4.9251,22245.0,0.874
398,4.2615,21095.0,0.9026
399,4.2606,21411.0,0.9041
400,4.2604,21684.0,0.9096
401,4.2589,21341.0,0.922
402,4.2602,21152.0,0.9085
403,4.26,17932.0,0.9458
404,4.2597,21867.5,0.9209
405,3.8362,20941.5,0.8677
406,3.837,18852.5,0.9505
407,3.8365,19457.5,0.9212
408,3.8359,19006.0,0.9416
409,6.3606,25676.0,0.9069
410,6.3617,28210.5,0.911
411,6.3614,27490.0,0.889
412,6.3612,27490.5,0.8967
413,6.3611,28761.0,0.8647
414,6.3606,26724.5,0.8199
415,3.8931,16399.0,0.9306
416,3.8898,16096.5,0.9425
417,3.8924,15877.5,0.9255
418,3.8898,19403.5,0.903
419,3.892,19935.0,0.9068
420,3.8908,19638.0,0.924
421,3.8905,19116.0,0.926
422,3.8894,18711.5,0.9327
423,3.8901,16300.5,0.9394
424,4.5957,18285.5,0.9587
425,4.5941,18416.0,0.9611
426,4.5955,18079.5,0.96
427,4.5936,17699.5,0.9486
428,4.5955,17855.0,0.9454
429,4.5965,20910.0,0.8785
430,4.5955,20628.5,0.8941
431,4.5946,21747.0,0.8859
432,4.5949,21223.0,0.876
433,4.5948,20913.0,0.8961
434,4.5927,22337.0,0.9056
435,4.5946,20750.5,0.8866
436,4.5947,20684.0,0.8971
437,5.0973,19973.5,0.9627
438,5.0977,19800.5,0.9637
439,5.0973,19766.0,0.9535
440,5.0957,19282.5,0.9593
441,5.0964,24548.0,0.8332
442,5.0955,24266.5,0.8214
443,5.0929,24501.5,0.8561
444,5.0937,25209.0,0.864
445,5.0928,24747.5,0.8363
446,4.7968,18217.0,0.9534
447,4.7963,23473.5,0.9353
448,4.7961,21137.0,0.8894
449,4.7959,22275.0,0.938
450,4.7956,22957.5,0.9358
451,4.7955,21859.0,0.9264
452,3.5331,18935.5,0.877
453,3.532,15094.5,0.9361
454,3.5312,17807.0,0.8795
455,3.5307,17895.0,0.8867
456,4.7346,19520.0,0.9608
457,4.7324,19359.0,0.9541
458,4.7334,19280.0,0.959
459,4.734,19132.0,0.9559
460,4.7335,21527.5,0.9245
461,4.733,21406.0,0.9207
462,4.733,21409.0,0.9371
463,4.7323,21410.0,0.93
464,4.7319,21057.0,0.9305
465,4.7304,20672.5,0.9215
466,4.7314,20715.5,0.9231
467,5.1174,19411.0,0.9452
468,5.1177,19956.5,0.9649
469,5.1179,20189.5,0.9653
470,5.1176,19779.0,0.9486
471,5.1174,23459.5,0.9249
472,5.1169,24103.0,0.9191
473,5.1165,24049.0,0.9272
474,3.3835,14786.5,0.9587
475,3.3832,14296.5,0.9349
476,3.3832,14718.5,0.9547
477,3.3835,14638.0,0.9507
478,3.3823,17520.5,0.915
479,3.3814,17104.0,0.9188
480,3.3798,16788.0,0.922
482,3.3803,17304.5,0.9341
483,3.3823,16941.5,0.9201
484,3.381,16971.5,0.9261
485,3.3815,16849.5,0.9325
486,3.3811,16522.5,0.9283
487,3.3815,16332.0,0.9075
488,3.3805,16097.0,0.9244
489,3.5085,15548.5,0.9679
490,3.5084,15723.0,0.966
491,3.5086,15768.5,0.9631
492,3.5068,17856.5,0.9128
493,3.5077,17480.0,0.9087
494,3.5067,17644.0,0.9086
495,3.5025,17678.0,0.9066
496,3.5012,17677.0,0.9182
497,3.5019,18279.0,0.9097
498,4.9371,19162.0,0.94
499,4.9335,19489.0,0.9509
500,4.9352,18722.5,0.9396
501,4.9356,22825.0,0.8866
502,4.9353,23125.0,0.9036
503,4.9347,22907.0,0.8926
504,4.935,22951.5,0.8934
505,4.934,23691.5,0.8741
506,4.9338,24189.0,0.8786
507,4.7104,22335.0,0.9262
