ID,AverageMass,AreaInSquaredPixels,Roundness
576,4.5221,21278.0,0.8982
577,3.5087,14693.5,0.9574
578,3.5081,14879.5,0.9667
579,3.5059,13927.5,0.9468
580,3.5017,17898.5,0.9192
581,3.5051,17332.5,0.9228
582,3.5048,17138.0,0.8969
583,3.5039,17498.0,0.9117
584,3.5046,17841.0,0.9323
585,3.5038,17381.0,0.9012
586,3.5036,17660.0,0.9281
587,3.5032,17137.0,0.9268
588,3.5023,17043.0,0.9194
589,3.5018,17208.0,0.9222
590,4.9498,19552.0,0.9585
591,4.9519,18945.0,0.9539
592,4.9504,19464.5,0.9706
593,4.9499,19285.5,0.9636
594,4.9494,23613.0,0.917
595,4.9478,22982.0,0.8915
596,4.9486,23715.0,0.9052
597,4.9488,23380.5,0.9199
598,4.9488,23472.5,0.9138
599,4.9482,23063.0,0.9127
600,4.9478,22992.5,0.9186
601,3.5437,14701.5,0.9476
602,3.5452,14727.5,0.9444
603,3.543,18895.5,0.9117
604,3.5439,18383.0,0.8944
605,3.542,18673.5,0.9133
606,3.5434,18557.5,0.913
607,3.5431,18084.0,0.9057
608,3.5403,17539.0,0.8929
609,3.5422,17194.5,0.8643
610,3.5417,18730.0,0.8618
611,5.0581,19040.0,0.9313
612,5.0584,19455.5,0.9442
613,5.0575,19432.5,0.9568
614,5.0572,19058.5,0.9336
615,5.057,19239.5,0.9368
616,5.0569,21885.5,0.9034
617,5.0553,23906.5,0.9051
618,5.0553,23158.0,0.8974
619,5.0544,23869.5,0.924
620,5.0522,23897.0,0.9189
621,5.0524,23634.0,0.9214
622,5.0524,23387.0,0.9172
623,5.0514,23437.0,0.9256
624,5.0511,23288.5,0.8956
625,5.0511,22591.5,0.8879
626,5.0517,22429.5,0.9094
627,5.051,22748.5,0.912
628,5.0498,22647.5,0.8945
629,3.4782,16315.0,0.9621
630,3.4761,15607.5,0.9511
631,3.4779,15849.5,0.9535
632,3.4773,17911.5,0.9098
633,3.4783,17172.5,0.9209
634,3.4778,17875.0,0.8957
635,3.4775,18247.0,0.864
636,3.4772,18434.5,0.8482
637,3.4762,17568.5,0.8925
638,3.4757,17322.5,0.8687
639,3.4764,18175.0,0.8948
640,3.4759,18222.5,0.908
641,3.4755,18225.0,0.8574
642,3.4753,17645.0,0.8507
643,3.4746,17619.5,0.9044
644,3.475,17206.5,0.8673
645,3.4745,16927.5,0.8881
646,4.0505,17789.5,0.961
647,4.0521,17481.0,0.9533
648,4.0509,17639.5,0.9566
649,4.0518,20300.5,0.8884
650,4.0516,20586.5,0.9045
651,4.0513,19629.0,0.8993
652,4.0499,20451.5,0.8936
653,4.0505,19846.5,0.8853
654,4.0506,20126.0,0.8922
655,2.6977,13081.0,0.9696
656,2.6972,12599.5,0.9608
657,2.6974,14985.5,0.9369
658,2.6972,14883.5,0.9197
659,2.6961,14874.0,0.9425
660,2.697,14770.0,0.941
661,2.6968,14682.5,0.9495
662,2.697,14816.0,0.9234
663,2.6962,14551.5,0.9314
664,2.6931,14174.0,0.9319
665,6.1317,21915.5,0.9375
666,6.1325,22664.5,0.9503
667,6.1313,23063.5,0.9455
668,6.1306,22343.5,0.9482
669,6.1282,21686.0,0.9295
670,6.1291,22576.0,0.9539
671,6.1286,28373.5,0.8407
672,6.1284,27416.5,0.8413
673,6.1285,29319.0,0.8803
674,6.1281,27774.0,0.8933
675,6.1253,27636.5,0.8926
676,6.1248,30298.5,0.8909
677,5.2807,20272.5,0.9659
678,5.2788,20256.5,0.9593
679,5.2788,20743.5,0.9611
680,5.2771,20490.0,0.9564
