ID,AverageMass,AreaInSquaredPixels,Roundness
411,6.3614,28652.5,0.8075
412,6.3612,28541.0,0.8044
413,6.3611,29724.5,0.7673
414,6.3606,28181.0,0.7146
415,3.8931,17087.5,0.8531
416,3.8898,17123.0,0.8586
417,3.8924,17148.0,0.8615
418,3.8898,20112.0,0.7934
419,3.892,20818.0,0.8216
420,3.8908,20510.0,0.8086
421,3.8905,19660.0,0.8182
422,3.8894,19432.0,0.8454
423,3.8901,16954.0,0.8569
424,4.5957,18861.0,0.8546
425,4.5941,18995.5,0.8599
426,4.5955,18799.0,0.8595
427,4.5936,18723.0,0.863
428,4.5955,18581.0,0.8615
429,4.5965,22089.0,0.782
430,4.5955,21615.5,0.7928
431,4.5946,22377.0,0.7936
432,4.5949,22486.0,0.7882
433,4.5948,21657.5,0.8017
434,4.5927,23002.5,0.7845
435,4.5946,22089.0,0.7873
436,4.5947,21241.0,0.7934
437,5.0973,20457.0,0.8532
438,5.0977,20045.0,0.8566
439,5.0973,20624.0,0.8463
440,5.0957,20076.0,0.8409
441,5.0964,26079.5,0.7639
442,5.0955,25901.5,0.7391
443,5.0929,25689.5,0.7574
444,5.0937,25692.5,0.7533
445,5.0928,25685.5,0.7758
446,4.7968,19416.5,0.8762
447,4.7963,24098.0,0.828
448,4.7961,22463.0,0.7899
449,4.7959,23116.5,0.847
450,4.7956,23665.0,0.8446
451,4.7955,22354.0,0.8219
452,3.5331,19982.0,0.7956
453,3.532,15293.0,0.8428
454,3.5312,18728.5,0.8029
455,3.5307,18604.5,0.7816
456,4.7346,20177.0,0.8602
457,4.7324,20290.0,0.8452
458,4.7334,20007.5,0.8606
459,4.734,19956.0,0.8571
460,4.7335,22665.5,0.8196
461,4.733,22079.0,0.8139
462,4.733,22232.0,0.8061
463,4.7323,22405.0,0.8207
464,4.7319,22049.5,0.8228
465,4.7304,21879.5,0.8207
466,4.7314,21698.0,0.8183
467,5.1174,20505.5,0.8547
468,5.1177,20615.0,0.8618
469,5.1179,20411.5,0.8495
470,5.1176,20507.5,0.8663
471,5.1174,24252.0,0.8175
472,5.1169,24896.0,0.8213
473,5.1165,24804.5,0.8147
474,3.3835,15223.0,0.8448
475,3.3832,15354.5,0.8449
476,3.3832,15161.0,0.8704
477,3.3835,14883.0,0.8575
478,3.3823,18343.0,0.831
479,3.3814,17730.0,0.8236
480,3.3798,17682.0,0.8239
481,3.3823,17682.0,0.8239
482,3.3803,17770.5,0.8262
483,3.3823,17587.5,0.8276
484,3.381,17533.0,0.8313
485,3.3815,17669.5,0.8341
486,3.3811,17217.5,0.8304
487,3.3815,17363.5,0.8436
488,3.3805,17042.0,0.8326
