ID,AverageMass,meanB,meanG,meanR,meangray
190,5.6244,39.707198859586605,58.64600855310051,188.1854953670706,0.0
191,5.6233,38.843564074245606,58.30617407103922,186.80319925896896,0.0
192,5.6232,38.568449197860964,58.78021390374332,188.88442067736185,0.0
193,5.6203,39.07103278161084,58.622814857183705,189.61877524756014,0.0
194,5.6215,57.94384931895573,80.36134364358684,222.81579880817253,0.0
195,5.6211,37.09107766921047,55.163647386063765,183.13647386063764,0.0
196,5.6186,37.449754418671354,54.21227548130356,181.40866884164487,0.0
197,5.6191,37.58899486426999,54.92853998532649,184.89372707263388,0.0
198,5.6198,38.84594723867692,55.79726995106517,185.4035836491409,0.0
199,5.3548,43.74558375634518,58.9807614213198,164.79710659898475,0.0
200,5.353,41.08222256268832,55.45952709258975,160.3115775496655,0.0
201,5.3539,43.22197658644425,58.15434859066472,164.22147414962566,0.0
202,5.3545,44.473931282461045,59.52871554135038,167.04025169796245,0.0
203,5.3547,40.44758777469058,54.936044455670626,160.6113159888861,0.0
204,5.3531,40.91900751424681,55.55902970396893,160.19385748146655,0.0
205,5.3551,42.65905334335086,58.435612321562736,163.05259203606312,0.0
206,5.3537,36.35431719007082,47.360040060090135,161.67655054009586,0.0
207,5.355,40.83469262137417,54.17546356851581,169.7488266523044,0.0
208,5.3547,40.84602750190985,54.131321619556914,172.433307868602,0.0
209,5.3528,40.80514342235411,53.91664764513429,172.71254660275432,0.0
210,5.3535,40.074761997279964,52.47787060423548,169.72570429376336,0.0
211,5.3535,38.62706766917293,51.345429362880886,167.0576573011476,0.0
212,5.3536,41.59462996747839,54.79479654160387,172.04069167922583,0.0
213,5.3527,40.87192785540117,54.46553392421721,172.1860510121144,0.0
214,5.3494,39.30974292668086,52.57837693945847,169.53019470641922,0.0
215,5.3489,40.45750144815601,53.93492952307395,173.6245993435026,0.0
216,5.3487,37.16248926368392,49.114468649957054,163.55692199578357,0.0
217,5.3475,42.56005351681957,57.13868501529052,177.23233944954129,0.0
218,4.8107,39.461544934365534,57.1674520363514,185.76232749915854,0.0
219,4.8118,43.042596451990036,59.95186295938596,174.22304681543233,0.0
220,4.8113,44.39496096522356,60.966136064077865,175.7436378383859,0.0
221,4.8112,44.41883919116535,61.24083505622511,175.43104230749836,0.0
222,4.8108,42.03826104559948,58.7783288627967,172.9145199655853,0.0
223,4.8101,40.966501178476506,57.34933052504889,170.2581114287147,0.0
224,4.8088,43.129307403616515,63.62632207437735,188.6626577959741,0.0
225,4.8103,43.75031275613649,65.44243130149691,192.70540528881412,0.0
226,4.8098,44.00153465768608,65.15551197885583,192.14233950038366,0.0
227,4.8105,42.558679605208596,62.022186281827985,188.75292361283903,0.0
228,4.8095,37.964281211917466,52.82644871202252,177.8811194688406,0.0
229,4.8092,38.33000754590425,53.31856292445712,178.27861155361785,0.0
230,4.8066,39.50879689521346,55.60866752910738,182.41310909874946,0.0
231,4.8093,42.911985581255635,59.8329399648114,187.89460584474102,0.0
232,4.8088,44.12061394337334,61.73689933503408,189.46765087198358,0.0
233,4.806,42.920798399795714,59.92586287611184,188.36894071583606,0.0
234,4.808,44.77843187441344,67.2932770241447,195.9532463100418,0.0
235,4.6951,35.86754210676563,48.31450593368949,172.7486236287264,0.0
236,4.6947,36.986804360298336,49.87078927956725,176.95717564134088,0.0
237,4.6949,37.16900207140246,50.06401039762804,176.81251776938387,0.0
238,4.6935,36.24646852290357,48.989017718624964,175.1608965460929,0.0
239,4.6948,35.86690137995225,48.68936910687548,174.11739711059855,0.0
240,4.6925,36.812656770426415,49.345285579176775,176.25424565154816,0.0
241,4.6944,35.07378507317862,48.14655939193014,170.83795585024663,0.0
242,4.6945,37.76466702448289,51.99929812972215,179.15961355848233,0.0
243,4.6939,36.0353186444835,49.93790622572865,174.1813759555247,0.0
244,4.6923,39.03825249114716,53.60907518735074,180.61438688956602,0.0
245,5.8265,37.899690631515234,57.32487053601453,191.38415495325847,0.0
246,5.825,40.38807327092733,61.059162233147006,196.59610074752507,0.0
247,5.8247,38.06659211061407,57.24281550765893,191.94096516198996,0.0
248,5.8267,34.61262211934507,52.81192769853968,183.8987983796848,0.0
249,5.8279,35.33113478775579,53.17784542533401,181.99063081346188,0.0
